申论题ID,年份,考试类型,地区/系统,卷别/类别,题号,子题号,题型一级,题型二级,题干_V3可用版,作答要求_V3可用版,材料范围,分值,字数要求,主题标签,关联材料编号,来源文件,V3置信度,V3清洗动作,V3问题标记
SL-00009,2015,省考,广州,通用卷,1,,文章写作,大作文/议论文,当前一些地方政府在城市设施建设中频频遭遇邻避困难，请你写一篇议论文，分析这一问题出现的原因。,"1、参考给定材料，可不拘泥于材料。
2、题目自拟，观点明确，条理清晰，逻辑严密，论证充分，语言流畅。
3、不要大段摘抄材料。
4、作答在答题卡的指定位置（作答在其他问题上的一律无效）。
5、字数在1200-1500字（计入标点与空格）。",，,,1200-1500字,城市治理,广州-2015-未知-M40,2015年广州市公务员考试《申论》真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00010,2016,省考,广州,通用卷,1,,文章写作,大作文/议论文,请以“公共舆论中的公共理性”为主题写一篇议论文。,"(1)参考“给定材料”，可不拘泥于材料；
（2）题目自拟，观点明确，条理清晰，逻辑严密，论证充分，语言流畅；
（3）不必提供政策或改进政府工作的建议；
（4）不要大段摘抄材料；
（5）作答时必须用黑色墨水的签字笔或钢笔在答题卡的指定位置作答，作答在其他位置上的一律
无效；
（6）字数在1200-1500字(计入标点与空格)。",,1,1200-1500字,,,2016年广州市公务员考试《申论》真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00011,2017,省考,广州,通用卷,1,,文章写作,大作文/议论文,请根据全部给定材料，以“广州：传承与发展”为题目，写作一篇议论文。,"（1）观点明确，条理清晰，逻辑严密，论证充分，语言流畅。
（2）不必提供对策。
（3）不要大段摘抄材料。
（4）作答时必须用黑色墨水的签字笔或钢笔，在答题卡的指定位置作答，作答在其他位置上一律
无效。
（5）篇幅在1500字—1800字（计入标点与空格）。",，,1,篇幅在1500字—1800字,,,2017年广州公务员考试《申论》真题卷（单考区）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00012,2017,省考,广州,通用卷,1,,文章写作,大作文/议论文,阅读9则材料，以“透视春节之变”为主题，写一篇议论文字数：1500-1800字。,"（1）题目自拟、观点正确、条理清晰、逻辑严密。
（2）不必提供对策。
（3）不要大段摘抄材料
（4）作答时必须用黑色墨水的签字笔或钢笔，在答题卡的指定位置作答，作答在其他位置上一律
无效。
（5）篇幅在1500-1800字之间（计入标点与空格）。",，,1,1500-1800字,,,2017年广州公务员考试《申论》真题卷（双考区）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00013,2018,省考,广州,通用卷,1,,文章写作,大作文/议论文,"请深入思考给定材料10中划线句：“但愿苍生俱饱暖，不辞辛苦出山林”，联系“放管服”
改革实践，自选角度，自拟题目，写一篇议论文。","1.依据给定材料，可不拘泥于给定材料。
2.观点明确，论证充分，条理清晰，逻辑严密，语言流畅。
3.不必提供对策。
4.不要大段摘抄材料。
5.作答时必须用黑色墨水的签字笔或钢笔，在答题卡的指定位置作答，作答在其他位置上一律无效。",10；，,,,基层治理；群众工作；经济发展,,2018年广州公务员考试《申论》真题卷及答案（一）.pdf,高,通过强清洗，可进入候选池,
SL-00014,2018,省考,广州,通用卷,1,,文章写作,大作文/议论文,请以“回乡”为主题，自拟题目，写一篇议论文，谈谈对乡村振兴战略的认识。,"1、依据给定材料，可不拘泥于给定材料。
2、观点明确，论证充分，条理清晰，逻辑严密，语言流畅。
3、不必提供对策。
4、不要大段摘抄材料。
5、作答时必须用黑色墨水的签字笔或钢笔，在答题卡的指定位置作答，作答在其他位置上
一律无效。
6、篇幅在1200字-1500字（计入标点与空格）。",，,,篇幅在1200字-1500字,基层治理；乡村振兴；城市治理,,2018年广州公务员考试《申论》真题卷及答案（二）.pdf,高,通过强清洗，可进入候选池,
SL-00015,2007,国考,国考,通用卷,1,1,贯彻执行,应用文/事务文书,根据“给定材料1、2”的内容，整理一份供有关负责同志参阅的材料。（30分）,概述全面，观点鲜明，条理清楚，语言流畅，不超过500字。,1、2,30,不超过500字,,国考-2007-未知-M1；国考-2007-未知-M7；国考-2007-未知-M2；国考-2007-未知-M3；国考-2007-未知-M6,2007年国家录用公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00016,2007,国考,国考,通用卷,1,2,综合分析,解释评价/启示分析,“给定材料7”提出了“持续土地利用管理”的问题。请结合“给定材料3—7”，谈谈对“持续土地利用管理”应从哪些方面评价。（15）,分条作答，简明扼要，不超过200字。,7；3—7,15,不超过200字,乡村振兴,国考-2007-未知-M1；国考-2007-未知-M7；国考-2007-未知-M2；国考-2007-未知-M3；国考-2007-未知-M6,2007年国家录用公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00021,2008,国考,国考,通用卷,1,1,综合分析,解释评价/启示分析,在怒江开发水电资源问题上有重大争议。请根据给定材料1-8，指出争议的焦点是什么，并对主张怒江水电开发和反对怒江水电开发的理由分别加以概述（20分）,"指明""焦点""，概述全面，条理清楚，语言流畅，不超过500字",1-8，,20,不超过500字,,国考-2008-未知-M40；国考-2008-未知-M1；国考-2008-未知-M9；国考-2008-未知-M7；国考-2008-未知-M6；国考-2008-未知-M11,2008年国家录用公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00022,2008,国考,国考,通用卷,1,2,综合分析,解释评价/启示分析,请根据给定材料9、10，分析这两个资料对搞好水电开发提供了哪些重要启示（15分）,分析简明扼要，条理清楚，不超过200字,9、10，,15,不超过200字,,国考-2008-未知-M40；国考-2008-未知-M1；国考-2008-未知-M9；国考-2008-未知-M7；国考-2008-未知-M6；国考-2008-未知-M11,2008年国家录用公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
